,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity
3.696,159898,155205,167150,167486,164323,154943,153322,159091,186108,149610,162938,168152,181149,161158,142143,146831,140572,151632,153520,152311
3.700,159931,152945,169030,166947,162283,155559,149018,159524,184158,148977,162236,164440,179844,159815,141892,147095,139395,150894,152239,150838
3.704,159277,149971,169508,166220,163051,155477,149888,155448,185202,148188,164057,164269,179847,158943,142126,149012,136330,149043,151097,149452
3.708,158379,153333,167377,165036,164466,154324,153290,152384,184314,148561,164744,164163,179177,158005,141946,150731,134624,150568,150801,148893
3.712,158225,154923,166289,163607,161856,154170,155179,151348,178969,149657,164627,163718,180539,156249,142095,149041,137133,148734,150862,148184
3.717,157692,153433,166293,164478,160464,154624,154068,150949,179156,146531,164768,164791,180097,155782,141766,149058,140458,145887,149333,149832
3.721,158766,152063,165598,163761,159654,155199,153579,151655,181454,142401,164310,165954,178659,155788,141412,149277,139861,145923,145889,153134
3.725,157995,152542,163866,163632,156794,156272,152786,154469,180806,143670,162470,166158,175078,153664,141868,146831,135596,146325,145295,153218
3.729,156377,152549,163666,164128,156113,154571,151094,155106,180703,145598,162590,164259,174672,151152,143606,146422,133710,145980,148636,151101
3.733,157002,152465,164094,162910,158402,152271,152893,153718,181892,146590,163527,163353,174766,150726,142921,148390,134235,146823,149081,151235
3.737,155866,153350,163717,161083,157960,149697,152123,152861,182558,144600,162305,162762,174961,152917,141424,147366,135456,145506,147217,151727
3.742,154587,151196,162874,159717,158353,147835,150673,153303,181834,143494,160889,162956,175162,154960,140917,146995,135461,145961,146930,150815
3.746,152469,149053,160482,160452,159915,147481,151279,153185,181090,145401,161156,162454,173539,156505,141310,146817,136355,144340,145787,149410
3.750,153576,150266,163060,160339,159834,148636,152673,154365,182359,147315,160348,159457,172088,153427,143496,146980,137503,144982,146260,149024
3.754,155844,149475,162699,161344,158450,148802,153107,156725,184846,146440,157977,158957,171958,151453,143186,146822,137739,145438,146115,151863
3.758,155563,148149,161613,162418,157197,147050,153281,156766,185078,145253,158346,160190,174051,151451,140956,145505,139306,144364,145964,155072
3.763,152772,147532,160421,161698,156319,146705,152424,156740,182729,148175,160361,160585,176481,153480,140589,144668,140679,145886,146499,154602
3.767,150561,147523,160407,160324,156468,146519,150867,155781,181047,147700,159237,162706,175023,154664,143406,144405,140193,144938,147050,152442
3.771,150800,149417,158737,160713,157733,146521,146751,154129,180111,145639,159663,164583,170482,153955,143031,143563,137849,143706,147849,150934
3.775,152551,150576,157270,161778,159787,147791,144705,155331,179066,145532,159122,164575,170195,154119,141360,144393,133965,141716,147112,149170
3.779,154591,148369,156627,161723,158307,150298,144739,156145,180294,147502,159187,161550,172144,154649,140145,145497,133098,142439,145349,147335
3.783,155125,146216,157525,160109,155833,149731,146273,154402,180836,147381,158957,159365,174799,154043,138217,144910,131390,141150,142730,147677
3.788,152123,148060,159256,156938,155550,147657,145256,154901,181173,145060,160175,161558,176085,152922,137936,145278,128956,138950,143462,146704
3.792,150668,148538,158488,156188,154762,145613,143636,154178,181318,144253,157965,164250,175187,153015,139743,147559,128065,139935,144662,146353
3.796,153830,146705,156554,158632,152708,146886,145224,151131,179820,144871,157370,163737,172687,154437,140518,145602,129557,142160,144089,146786
3.800,155800,144894,156455,161088,153845,148077,146937,149548,179497,145821,158466,161865,171570,154963,141414,142820,131194,142220,145032,145541
3.804,154450,148373,157229,159048,153615,147602,146516,150728,179175,145650,159583,159433,174910,153853,140100,141895,131333,141636,144513,142752
3.808,151023,148531,159208,157782,153910,146959,146664,151622,179175,144865,158886,158792,175469,153480,138906,141922,131074,142541,141219,144171
3.813,148938,146335,161031,159726,153276,148093,146806,150437,179469,144085,157484,159731,173340,153011,136618,140554,129702,143140,141361,144832
3.817,149555,146403,158604,160349,153394,149696,146471,150348,178282,141724,155692,161634,173740,151750,134582,142145,127028,141734,142383,142637
3.821,149876,148610,157011,157433,153783,149758,144680,150896,176516,141824,154932,162815,175734,151272,134497,144838,126017,142555,140848,142702
3.825,149785,149767,158808,155607,153471,147838,144406,148572,177491,142181,155922,160465,172784,153785,135055,142910,126902,143448,139700,144637
3.829,148872,148844,157287,154090,153661,146717,145972,146233,178257,140425,155916,159204,168186,155311,136192,139374,129927,141471,140624,144744
3.833,150610,148668,151996,153699,153702,147691,145447,147131,178177,139344,153987,161453,167995,154780,136413,140383,130163,141575,141191,144741
3.837,153813,147305,151857,154350,153454,148198,143847,150693,176449,139417,154494,162881,170037,155096,135057,141019,126993,142539,140427,142709
3.842,151687,147495,152941,155392,154139,147870,144113,150381,174964,141738,157647,164449,169277,154060,135910,139861,127034,142901,140809,140850
3.846,148297,146585,154459,154425,154545,145007,143662,147350,175431,142211,157524,163060,168822,153005,139893,138247,128124,143363,141653,139563
3.850,148349,145438,155090,152830,153076,143850,141409,147857,175697,143582,155329,160621,169944,152719,141688,137246,127059,142904,141966,140383
3.854,147871,144957,154292,153012,149311,145162,141363,149163,174804,143919,156044,159356,169393,152168,140253,136401,127124,140328,143077,139078
3.858,146070,145022,153851,153067,147898,146153,140280,148487,174113,142033,156327,159994,167998,151929,139164,136130,127565,137612,141920,137414
3.862,144084,146134,154313,149729,149201,144791,138487,146570,171923,139698,154120,162235,167697,152444,137938,137522,127389,137209,140765,138481
3.867,144241,145319,154189,151036,149115,143621,136359,149212,173361,139348,153564,162724,168720,151746,137642,140846,126323,138721,142741,140178
3.871,144025,142392,153476,154184,149281,142895,137218,149674,176411,142480,153237,160510,169694,153783,138135,140810,125229,138359,143329,140645
