,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity
24.479,176219,150812,207926,227277,138775,109217,98056,154185,156757,92222,131273,166485,198774,120972,109170,64896,98407,63824,55873,93478
24.483,170958,148727,203956,214292,136530,107447,94285,152147,154248,93110,127281,163993,195021,119166,106368,65121,95468,64435,54298,91814
24.488,167646,148605,198160,206210,135928,105833,91092,150743,152733,93692,126978,161563,194928,119378,102708,64626,92162,65866,53373,90783
24.492,165569,146395,191694,197288,134915,104866,87170,147703,150330,91332,128843,157216,193607,119348,98409,64350,88470,65479,52520,90452
24.496,162165,143197,186066,191378,133512,101644,83092,145274,150659,88593,126047,154613,190829,119603,96675,63369,84649,64881,53989,89303
24.500,161034,140066,182829,189599,131106,100220,81744,143061,151270,87910,124481,154202,187103,119646,97539,64365,82824,64784,54849,86855
24.504,157348,136339,178866,187149,129079,101052,81077,139363,151107,88937,124338,151203,184663,116906,96932,64149,80590,63101,52786,85629
24.508,154500,131475,177626,182789,130585,98967,79156,137264,149592,88288,121116,147863,180945,115376,93208,63034,78192,61227,49823,86059
24.512,151738,130286,177003,176566,128474,97522,76527,134977,147118,85987,120342,145315,176852,117270,90410,64009,73814,61997,47766,87228
24.517,149214,131362,175864,178131,125681,97872,73996,132333,147312,85870,120880,143352,177994,118310,88626,63003,69466,61461,46703,87125
24.521,146588,130108,176612,182012,124807,96911,73099,130326,144104,86640,121946,144573,180535,115660,87172,61153,64562,60293,47203,86162
24.525,145095,127209,175323,181131,125019,93885,71390,129937,148051,88295,121128,144810,183308,116572,86782,60794,61540,60777,48490,84334
24.529,146737,127986,171590,178348,126616,91881,71211,131415,149335,87603,120336,147064,186388,118018,85688,61636,62349,60030,48088,83210
24.533,149245,133210,172182,179357,128523,93849,72576,133850,149063,87921,118248,150173,189050,120233,84324,63178,63440,58671,47567,85030
24.538,150746,136180,176541,180473,131654,93491,73366,135541,149937,89498,120008,153678,189928,120012,83674,63441,63381,57610,49888,88423
24.542,152128,140322,180554,178466,129070,95158,71134,140039,156081,90393,124510,155507,191571,119609,81946,63884,63101,58382,50930,88572
24.546,154120,142887,182476,176567,126715,97722,68372,141555,159672,91102,128901,156599,196731,121158,82705,65521,63754,59277,49778,90212
24.550,159007,144241,184493,172503,128372,99551,71454,139237,160381,91713,129804,159211,199789,121922,82825,66447,63295,60674,49294,90908
24.554,166104,148466,190194,168744,132354,99521,73583,137316,160825,92023,128730,165462,204386,125854,81675,66678,63119,62319,49025,92450
24.558,173428,153744,198034,167756,136553,99359,72975,141338,160785,92581,130221,170967,209000,131058,84563,65625,64427,61722,48934,93715
24.563,180152,159562,206000,162022,140608,100195,70603,143098,161352,93718,134062,176204,211910,133496,86047,65450,63627,61617,50285,96532
24.567,186045,162270,213082,154132,143773,101216,68803,144457,166868,96121,139668,180402,216841,131598,84158,66420,62094,62757,53217,98555
24.571,191426,163768,218961,148604,148025,102087,67616,148457,171328,96391,142774,183051,222261,131230,82086,67790,60463,62633,54316,98924
24.575,198738,167815,225424,147936,151139,103925,67450,151837,174589,99124,144070,186083,225479,135647,82424,69919,59978,63104,55098,102088
24.579,205160,173141,230882,148934,152285,108299,67208,155755,178049,100184,144485,185544,226563,139009,82924,68046,59522,64515,55550,105478
24.583,207659,174178,235635,148259,155595,108854,67102,162357,179149,102320,145588,184229,229688,137722,82774,67289,59128,64057,54813,105673
24.587,208153,174686,241679,147502,157402,107575,65958,164250,178944,104524,147170,188139,231673,136588,80727,66632,58835,64175,54512,105595
24.592,211274,178802,249533,145886,158570,107626,67410,163714,181484,104005,147361,191356,232476,136845,81811,66339,57490,65158,55218,108642
24.596,218068,180343,255815,144398,162071,107567,69092,164974,185812,99705,145533,189362,233434,136237,82380,67298,55283,64604,55343,110562
24.600,225899,179248,257433,147489,167519,109721,68881,168455,186177,99045,143694,187774,231002,133698,80626,69676,54803,64452,53110,110000
24.604,228575,182134,254587,152047,171308,110800,68258,168999,184429,102597,145084,187168,227202,135068,79301,70604,54372,65378,51975,110328
24.608,225364,186705,254965,156323,172795,111739,67988,169850,182569,104814,146525,186055,222952,138936,77832,70551,53210,63183,52895,108868
24.613,220899,186768,254732,157879,175392,112161,68082,170826,182302,104921,147425,183316,219769,139868,78645,70064,54650,61441,53365,106221
24.617,216124,182884,251766,161188,174770,112205,69947,169448,179609,103534,145462,180827,220669,138464,78894,69233,55952,61379,52578,108098
24.621,214074,182408,246842,169191,171211,113241,70050,166653,177642,103502,141083,181615,224615,134960,78433,67733,54791,61351,52721,109156
24.625,212775,182999,241849,175673,169450,112644,69486,166396,176887,103897,137745,177840,221385,132060,77291,67897,53246,60731,52117,109358
24.629,203479,182327,239837,179825,168546,112663,69882,166217,174362,103113,137283,172777,216739,130795,77009,68268,51440,60073,50402,107149
24.633,197153,180105,235924,185259,167147,111256,71841,163063,170358,102443,138429,169577,214666,129154,78238,67866,52055,60706,51292,108800
24.637,196791,175153,225403,190616,160291,111306,71120,160859,165305,103723,135883,168727,210418,129101,78583,66972,52659,62500,52614,106511
24.642,191911,169278,218062,195059,156275,111080,68337,154786,161881,103636,131069,166120,205487,130266,78603,67937,53970,63597,54473,102480
24.646,186668,164259,214808,199585,154013,106539,70611,149446,163103,100479,128640,161818,203406,128948,78888,67560,54002,64137,54479,97092
24.650,182885,157874,209470,204338,147716,105420,73137,148793,160602,97959,127712,159552,199751,126114,79568,65704,53343,63090,50715,94776
24.654,176506,153688,201277,209655,140046,106608,72232,149765,155467,95715,125979,157247,195403,124940,80893,63251,52153,60536,50781,92690
24.658,167674,149767,194370,212639,137224,104269,72128,147927,153957,93869,124353,150862,194962,126638,83587,64164,53814,58194,50196,92008
24.663,160120,142634,187627,216889,136006,101291,75631,142732,151324,94160,122031,147815,193384,126740,84294,65459,55312,58387,50352,90516
24.667,154660,136975,182617,217014,134626,99223,76398,137871,150805,92681,119796,147701,194417,124841,82534,65259,55988,60051,49899,90287
24.671,152239,132138,175424,215047,133405,96017,77219,134918,150037,90915,119565,146589,193382,120925,82966,64828,56792,58593,50789,89824
24.675,148563,128398,165892,214967,131334,96960,76667,133890,148880,90248,121202,144237,192071,119292,84101,62920,57331,58967,52352,86890
24.679,143839,126999,164792,214039,127177,95680,76427,129539,148852,89828,122497,141572,192825,120531,83994,61289,57094,61138,50994,84905
24.683,140615,126257,165203,212676,123173,94633,77843,129256,152261,87849,123315,138139,194074,120817,84272,63466,57325,60449,48499,84495
24.688,136204,124150,162326,216068,121093,93583,78220,130376,153236,86891,122794,136521,195416,118597,86704,64579,59926,58407,47535,83868
24.692,130826,122929,159344,218578,119354,92214,79150,131617,152161,89921,123716,136775,197868,118866,87117,64414,61000,56006,46799,83282
24.696,126882,120979,158740,215194,116565,90058,78848,133234,153122,91566,124557,138375,196981,117774,86795,63097,58365,52489,46909,81892
24.700,125554,117403,156809,208074,115006,89231,79073,132410,155073,91423,126303,140690,196739,117076,86274,60812,58436,51117,47315,83799
24.704,122703,113718,156180,202705,112874,88771,80850,133622,155526,92988,128399,141022,200722,119209,86014,60116,58574,53134,47611,84361
24.708,125176,112912,156142,198775,111519,87410,80095,138932,153813,92574,129568,140294,206238,120360,87048,58821,57698,54250,49411,84381
24.712,123996,113880,155140,196458,111600,86261,79921,140497,157777,92095,131591,140787,209285,121516,86857,60580,56771,52332,49812,84469
24.717,124959,113213,152000,191211,111612,86683,79560,139450,160806,91762,133726,144035,209449,121198,87149,59064,56636,52405,49026,84931
24.721,124833,113726,154174,182483,108920,88247,78054,137445,163081,91077,135858,148101,207312,119986,86598,58657,57790,53646,46385,84363
24.725,123740,114257,159317,176014,107014,87486,75793,136902,163391,92103,136074,149216,207985,122321,84951,59768,59274,54493,47276,86392
24.729,124074,113363,163446,173071,107996,87291,74998,136660,166451,91139,136238,150611,213119,124532,85938,60241,59984,53721,47603,90876
24.733,126581,112529,165912,168745,107112,84352,73821,138670,169129,88400,136581,151669,216577,123602,88133,58352,58637,54018,48651,92243
24.738,128529,110485,166829,160027,107589,85435,72959,139537,170639,89506,136940,152448,217706,124867,86945,57258,58325,54260,50084,93281
24.742,129625,113551,168532,152701,109871,87131,73993,140370,172368,90111,137488,156382,219480,125884,85176,58774,59178,54303,50335,97816
24.746,133378,115656,171385,147160,111669,87150,75352,144502,173407,93530,139077,158057,220853,125380,81666,59761,58570,53504,50083,103087
24.750,136557,116777,174710,144637,115311,86175,72815,147105,170897,96972,142439,159970,222237,127042,81307,58963,56680,54718,49999,104828
24.754,136407,120148,178608,141055,118521,86278,68808,148053,169079,97095,143869,160897,222219,129865,82942,58117,53998,54726,50858,108928
24.758,141447,123059,183910,136447,116380,85242,68260,147717,171432,95062,144483,164542,225220,131803,83895,57706,54877,55614,53066,113114
24.762,146738,128394,190866,134576,118244,85149,69621,150620,172186,93075,145016,165522,226692,133780,82218,58227,56987,57267,53221,117304
24.767,152364,135910,192646,132328,120138,88750,70289,153798,171108,93924,145357,165993,226986,134337,80318,61477,57773,59215,50243,122001
24.771,157511,136853,197675,131476,120554,91382,69414,156455,175683,94560,144465,170324,229030,134183,76529,61332,55007,61815,52816,126758
24.775,161643,138251,203973,132023,126032,93044,67157,156826,180299,94652,144805,172520,229009,134193,75482,60484,53931,64624,54456,130799
24.779,165504,142332,207267,133107,130900,93553,65181,158826,181472,94985,144773,173119,227051,135281,76691,60168,53680,64764,55057,133773
24.783,168993,146411,208083,133065,134776,94004,64797,159335,179605,96299,144971,173555,227546,133855,73946,59068,53192,65742,51415,135653
24.788,171454,149677,208685,130290,138586,97195,66126,159113,179463,98939,145934,174419,225369,133247,73829,61781,54180,65595,53041,137293
24.792,173340,151819,209494,127972,142321,98971,65953,157109,179815,100146,147296,173730,220009,134775,76643,62705,54493,66160,55404,138142
24.796,173723,153021,213041,128880,142780,100198,63719,154972,178020,99646,146491,171826,215470,136849,75257,63928,52736,70278,54846,138818
24.800,172147,151742,213627,131610,142410,99159,60894,155531,175691,97246,147436,170368,216190,135831,73191,62872,52608,72616,56164,135602
24.804,169814,149424,214222,133762,140697,98839,60333,155786,172374,97087,146175,168389,213382,130017,74289,62041,52668,70782,57573,133066
24.808,171042,147187,213403,135418,140571,101195,62137,154069,165394,96706,142508,166606,208539,128665,76148,62290,51787,67880,59340,131699
24.813,171762,145138,209717,138844,138959,102951,60569,151970,162508,97445,139066,166194,204079,127063,74169,64466,51060,68985,60294,129659
24.817,168162,143730,206859,143029,138712,101612,60770,149617,162670,97037,135887,165624,201211,127746,73271,63337,48288,72193,59498,127996
24.821,165058,143518,202656,146296,138967,99200,60120,148411,162276,96532,134714,162690,199669,127399,75484,61209,49514,71360,58699,122251
24.825,162519,142478,194100,147452,135404,98336,63302,148129,162659,95825,132761,158161,196622,126267,77091,60862,47751,71052,56706,117684
24.829,161238,140490,187040,147757,131513,97664,63687,144769,160770,93057,128561,154522,191754,121954,75362,62134,45546,72332,57762,115162
24.833,158747,134380,183646,151738,131631,95929,63042,141884,158294,90489,125957,151478,189981,123823,74073,61034,48981,73192,58833,112183
24.837,154669,130254,181286,158673,129162,94224,63351,140988,155763,89438,126081,148796,188582,123890,71949,60232,51741,70547,57932,109008
24.842,147168,131019,177869,165027,126669,92729,65267,138564,155152,88467,123903,147223,186314,122616,70932,60031,52179,67875,56634,105239
24.846,143607,130394,171085,169513,123442,91345,67531,137036,155984,88253,122171,147387,187259,122175,73908,57012,49965,66694,58033,103163
24.850,140199,127009,163704,172589,119535,89695,68249,136743,158580,85117,120243,145703,190326,120570,78913,56294,49580,67221,59287,102774
24.854,137805,124302,159757,176689,118571,84225,65247,133989,160614,84391,118299,143096,193283,119523,79017,57695,49087,66377,56716,102400
24.858,136479,124434,160072,178085,118685,86351,65076,131864,162573,83304,120188,139581,195673,123172,77877,58476,49032,65859,54249,100522
24.863,136419,124199,159660,178923,116906,83972,65399,133462,163605,83263,119972,137736,196662,126988,78848,54555,50161,65347,55722,97268
24.867,137110,124064,156802,183468,116129,82479,67220,135088,165366,83446,119808,140082,198364,126573,79100,55928,52628,65422,57303,95409
24.871,135084,128251,153402,187051,115860,83577,71005,135343,165688,85445,120659,145280,200267,123706,78926,57428,54187,63967,57479,94334
24.875,135010,126205,155329,187804,116966,83553,72862,136665,168091,87938,120863,148184,204701,122847,81256,57036,56623,61573,56924,93885
24.879,138510,127814,158309,184563,118804,83417,72118,139015,171493,89301,123453,149543,211596,128068,79817,55370,59100,60747,55331,94327
24.883,141614,132946,158803,179191,119606,84717,72635,141643,177058,87863,127291,151113,218788,133452,81688,57254,60693,61737,54068,95447
24.887,145423,134769,159413,173113,120309,86348,73333,142318,181325,88572,127685,154107,222863,135402,83618,58776,61858,63321,54223,97257
24.892,152017,133572,167257,168879,123669,86837,73592,144736,184669,89181,127877,159088,227113,138114,84499,59130,63448,61151,56565,97322
24.896,157144,136160,172423,165728,127057,86007,72991,147044,186413,89688,130955,161158,227535,140998,81766,59316,63226,60695,57336,100250
24.900,163272,141863,175360,161135,128800,86746,71662,150016,187485,90050,136631,162747,227025,142251,80150,58007,65160,61143,56462,105224
24.904,167162,144588,182429,156952,127551,89166,70487,153624,187641,93132,140523,165468,225334,143043,80257,58950,67147,60965,56296,108705
24.908,169418,145365,187790,151857,128854,89571,70891,156616,187390,94363,139545,162097,222242,143024,79870,58709,67809,62685,55680,111661
24.913,169122,144187,190856,148161,131137,88315,71621,157743,186232,92916,137179,161139,219396,141512,81269,59913,68692,63005,55910,112375
24.917,165084,144173,194903,146929,134815,89115,70354,155514,183102,91516,134009,163104,217369,143359,81024,60853,68391,62913,55318,113541
24.921,162987,145151,197054,144947,138517,91884,68126,151150,176943,91044,133482,159892,215390,140831,79032,63448,68779,64491,53913,111736
24.925,162742,145315,194838,139113,136429,95778,66148,147022,171131,92276,132314,154426,212007,137783,76697,61634,69458,65187,54882,108781
24.929,162022,143762,193273,137560,133739,95655,65522,144484,167369,93588,127970,150702,206075,137837,77284,62767,69738,63773,57707,108270
24.933,160318,141155,192168,138182,131992,94286,66086,145141,165040,94680,125025,147275,202362,135308,77825,62979,68928,61916,59043,109325
24.938,157958,139317,187815,139096,132336,92205,65165,144572,160585,92036,126987,140872,198551,132555,78011,61478,66839,59220,58418,107996
24.942,155116,136172,182155,139531,132289,92513,62666,140918,158573,87867,126151,138234,193454,129633,76749,62425,66232,60981,57198,104206
24.946,151865,135100,177795,139665,131242,93679,61436,140463,156044,87049,120251,137738,189791,128684,74571,61016,64763,62401,54780,101574
24.950,147217,134298,171926,143925,127862,92621,61110,140260,152111,86036,115294,139854,186640,127733,72952,59586,62910,61744,54278,99749
24.954,142897,131209,165183,149425,124356,92640,62071,136484,148862,86606,112880,138415,184803,123867,72385,60532,62810,60618,54307,97366
24.958,138936,126462,157567,153357,121107,91840,63676,134218,146223,85041,111546,137882,181079,121824,73877,59542,62358,62789,54251,94554
24.962,132333,120624,153861,153699,116439,90964,64094,132393,142828,83725,111260,136087,178446,120816,73024,58807,60155,60985,52864,92159
24.967,128158,115461,149766,155414,112730,90777,63387,128657,142100,84993,109987,133557,175085,122670,72906,57568,59624,59718,53788,90659
24.971,126446,112791,146317,160077,109837,91185,64326,128719,142938,83063,112246,132384,173905,121772,73764,58489,59412,58072,52552,91706
24.975,125375,109271,146122,166135,109082,89805,66070,125746,142325,80309,112814,131983,174764,120499,73836,60352,57197,57785,55357,92422
24.979,121341,106415,145470,170490,108029,86210,67342,124389,141723,80812,110052,130431,175132,119039,75183,60010,57305,57088,54576,90635
24.983,118546,103779,143525,170580,105281,83472,66244,122026,139780,83230,109767,130765,175977,118525,76548,58801,57760,56353,53478,89256
24.988,119890,103947,142206,169474,104411,81200,65876,122910,140270,83473,109848,132157,181335,117253,74769,59011,58590,55841,51841,88101
24.992,120340,105460,140328,171516,103893,80748,68768,125389,141350,81269,112012,132365,183587,117235,75280,59224,57632,56088,50942,87065
24.996,117922,107104,139979,172467,104165,80441,71267,124651,141944,80239,113181,131610,178837,119758,76267,58589,57598,55714,50138,84603
25.000,116476,107851,138691,171304,105483,79419,70956,122256,141037,81284,109796,133360,171230,122252,78322,59604,57771,53985,48919,83809
25.004,114999,105802,137381,170587,103055,79326,70208,122916,141822,82121,108465,132358,175305,122784,79877,56705,57185,54395,50792,83546
25.008,115474,103754,140438,169051,103128,79890,69038,123963,143382,83580,111903,131714,178326,120926,81600,56421,57262,52952,51872,81797
25.012,117567,104700,142781,163793,104640,81059,68204,125316,144170,83527,113694,130588,178090,119254,81979,56649,59492,53169,51702,81230
25.017,116684,104963,141806,157583,106398,81409,69897,127244,143384,85842,115682,133154,178539,120082,82781,58250,60872,53449,51866,81811
25.021,116081,106861,143317,154433,105684,81315,71083,129054,145340,89537,117980,134100,178456,119093,80936,58261,62172,53438,51999,83029
25.025,116405,107194,144496,151589,102864,80545,71680,130871,150661,91823,120681,136666,178860,120361,80929,58875,62681,53281,51675,81690
25.029,116751,105924,145612,144502,99990,79703,69651,134824,155113,91314,124059,137543,181468,120056,79254,57839,62348,54513,51385,81342
25.033,116482,105647,147238,138525,99702,77897,68078,137328,160348,92469,127693,138675,184697,117067,77776,54820,59715,55153,50675,79853
25.038,117692,104035,145418,133668,100043,77430,66020,142492,167053,96100,132863,138814,190651,119960,77422,59028,59050,51575,49190,77630
25.042,119685,104054,142438,132346,99256,78395,65093,150313,173348,99072,138895,142808,196558,124093,78855,59816,59671,49818,47851,79215
25.046,121590,104456,143741,129953,100524,77419,65063,161928,180942,101843,145329,145873,199595,126794,77946,60484,55441,50853,46813,82612
25.050,121808,105284,144997,125952,100805,77673,64846,174351,189260,104943,150789,149359,203416,127374,77465,61061,56202,53622,48316,85359
25.054,122540,104209,144860,121387,98880,79305,63901,183982,196168,109717,159470,155139,216210,127561,78122,62190,55312,55511,47768,84427
25.058,123053,104467,145192,121271,97911,78892,62551,193883,204613,113872,169410,164379,229868,130869,75094,65008,56046,55178,48715,84134
25.063,124594,105953,144661,121902,97706,80216,61822,207262,214770,117697,174431,171825,240606,134074,72577,65705,55781,55420,49481,84084
25.067,128989,107449,144028,122759,97551,79421,61894,222273,226718,123278,176214,180646,250517,134899,73197,65900,55334,55925,49319,83963
25.071,133109,107693,145881,123826,99635,80844,60315,233955,235742,129223,181509,186239,259459,138918,71342,67948,55268,55275,47048,84587
25.075,135011,109032,148151,124774,99551,79240,59060,240687,241405,134337,187531,187214,267002,144248,68542,68019,53762,55528,47683,87013
25.079,135054,111379,151794,127937,99407,79781,59920,248003,243944,138002,190506,189049,275566,148154,65953,67903,51781,55797,48431,89739
25.083,134820,113515,155064,130025,98306,80868,61818,258005,244183,142382,189726,194056,285126,150510,68178,67872,54010,54810,50088,91413
25.087,136189,115115,155811,129162,97312,83213,61281,263858,246288,144611,189793,196525,293989,151997,72125,68492,55992,54273,50938,93487
25.092,139281,115668,155802,126949,97336,82598,60166,262162,246493,142654,190272,197887,296391,154974,74432,68292,54364,55717,49021,95186
25.096,140518,116798,156323,124633,99451,81733,60074,259002,246469,140964,189574,198607,292552,157622,74544,66861,52727,56748,47840,95404
25.100,143034,119426,159085,125010,102549,83544,60820,256148,248610,138711,189701,195157,290960,158345,74037,68879,52338,56910,49408,95729
25.104,146445,122957,166923,127817,103458,84766,62144,255806,248971,138038,191571,194213,295631,161440,74416,71814,52144,56798,51985,98916
25.108,149056,128032,175979,126408,107071,86467,62567,256556,253461,140108,194961,199688,302231,166780,75969,70398,50988,56237,54557,104160
25.113,155083,133541,184397,123312,112587,90979,61275,255722,259464,143294,200125,207211,310264,172679,75517,72041,51255,59048,56059,111338
25.117,162546,142039,195180,122958,116042,96613,58891,251252,260956,142281,203598,215505,319451,177558,72827,75401,51293,62669,55713,116057
25.121,171223,155915,210882,127490,121295,103056,58951,246692,262397,141213,208855,228335,327976,184061,71350,75565,49836,64785,57098,120634
25.125,183021,172600,226844,127789,130019,110293,59507,247705,268759,141986,212836,240210,341858,191965,72866,75923,52243,68048,61842,130101
25.129,197630,191583,249786,125281,142387,115194,58104,253673,276182,146746,219423,252141,359761,198685,73021,76871,51358,71372,64809,143481
25.133,218709,217844,278886,125977,160577,120262,57589,261296,286518,154052,232341,266631,374153,206333,72990,80713,48506,74014,68808,154000
25.137,245310,251873,311118,125653,181803,128264,58667,268360,299953,157180,247658,280560,391658,218541,74196,87222,48785,77194,69576,164048
25.142,275319,292816,346962,126008,203861,141083,57810,277798,317842,161068,259532,292174,407544,233158,75262,88008,49249,79272,70436,175663
25.146,307606,336763,388852,127985,228090,155562,57983,287964,331459,168358,267636,304363,415402,242231,75757,87134,50417,82811,74845,187990
25.150,347121,386293,430241,131054,253071,166735,58103,299974,339541,174481,275693,314073,422577,242714,76697,90020,50871,86600,77673,195801
25.154,396271,437057,471830,132884,283062,172077,57641,311007,343347,179459,280678,320918,432096,245212,77569,92379,51168,89411,78024,201804
25.158,443056,485256,515559,131766,316823,183025,59119,318346,344969,184478,285248,328641,441107,249755,78275,93269,50218,88860,79260,209749
25.163,482246,530312,554673,132059,348378,197489,59568,321575,342241,186626,286295,334749,446042,251909,79519,95544,48531,91604,81630,216453
25.167,514883,570028,582987,131395,378867,206441,58681,325909,336629,187593,283298,336731,448070,249838,83429,97393,49909,92225,82673,217504
25.171,541800,608238,602410,132821,409574,213150,58480,326641,335411,191910,286059,337078,444587,250871,86403,98583,51087,91316,82199,214056
25.175,570116,643459,615060,138896,435495,215635,59820,326025,339974,193255,289074,337344,436857,254629,87774,96280,51653,93184,81246,210514
25.179,604205,669699,625372,145412,454169,219784,62539,327233,344200,189394,292477,334172,428820,254384,87896,99195,53759,96631,79602,206935
25.183,632568,690516,627242,149727,470433,223521,62972,328583,346698,184606,293905,330165,418570,250464,88316,98430,53267,97854,76533,201521
25.188,640476,705762,615068,157080,484536,225064,63696,328552,343694,183975,293393,325956,405857,245079,87963,93940,52248,94874,76386,198358
25.192,631498,705209,598764,169042,492394,225787,65621,327208,335437,183114,292642,322214,400211,239941,87570,92517,51257,92567,77196,193492
25.196,622344,679991,582303,185791,490965,224475,66729,321252,327465,179836,291682,320702,399870,233584,87629,96375,50701,91353,78137,188882
25.200,618977,641042,568413,204777,480984,224198,69644,313101,326999,177030,290090,320962,396115,227398,87145,97292,52667,91698,79501,186215
25.204,604391,603258,554917,225774,463853,218997,73813,305839,328936,177056,295955,322203,388661,223036,88906,96712,54994,92430,79971,185238
25.208,572011,570418,530309,254430,437151,211674,74971,300607,327061,179611,308470,324684,384034,217481,92822,93747,58772,92482,78973,179690
25.212,540621,541738,502173,288251,410590,208143,76541,297520,326435,181963,315649,322835,384200,211956,96242,95216,60327,93368,76499,178066
25.217,517222,509030,480201,319837,390424,205341,85771,292687,327787,183563,319706,314491,385413,208615,98432,92490,62565,92968,76843,176820
25.221,490966,469501,464359,348974,373942,201101,90326,288163,328129,187119,322045,311979,383837,206368,100764,89684,65751,92445,76162,169533
25.225,463225,432076,449752,384102,354412,195289,94226,288693,327315,190140,323964,314613,381801,205028,104232,86095,67761,90650,74816,164331
25.229,438488,400461,441134,420415,332562,190010,99576,292467,324920,190972,328483,310011,380229,203666,107673,82165,70780,89480,72956,161552
25.233,412370,373154,425916,450552,310534,185391,105419,292628,321385,189612,329215,305163,377848,199606,112804,80926,76319,89561,72095,160280
25.238,386002,353839,401382,471964,289302,178877,111071,290281,317143,192358,327421,307665,373392,195288,117995,82168,82194,89589,73398,158146
25.242,364767,332021,376651,490896,271085,174950,122193,291048,312565,193992,329149,305799,370200,192438,123323,82506,82888,89497,73361,158875
25.246,347541,309329,360057,514290,258635,171790,131651,291733,310803,192796,334183,297954,368771,190495,128540,82704,85414,87654,71649,159995
25.250,330761,295678,348086,535203,247574,168948,138260,291266,310315,191788,335793,300103,370072,189661,131976,82304,89780,84440,71023,159689
25.254,322431,283561,340133,543838,237651,164333,143942,292016,310224,191242,335897,305620,371057,190317,138025,81755,93568,82602,70673,162982
25.258,316506,273657,335886,546886,231930,157251,151166,293824,309812,190506,332885,302947,365678,193271,140595,82023,97163,82188,68415,167065
25.262,310584,267326,333106,549758,227199,151244,157834,293194,309158,189214,327945,299416,358072,198661,141077,81680,98920,82289,66322,170617
25.267,306059,263118,333814,541181,220997,149354,159913,292480,314232,187803,321613,300159,360217,202424,141941,81451,96643,81532,66623,173567
25.271,300266,261004,336661,518000,216929,151621,158584,290871,315434,189458,314447,303259,366181,200437,141621,82358,93456,80807,65418,175105
25.275,297251,258104,340583,496013,216155,154652,157767,285273,312896,195003,311292,305654,368469,200339,143112,82397,93768,79744,64492,175886
25.279,298151,254911,342068,485564,218634,153643,157992,281546,311812,195902,313252,308862,367744,205354,138805,80429,95158,77755,64429,178155
25.283,297226,252732,342062,473754,222696,149550,158010,281337,312860,191314,311671,308381,372308,207647,136780,79312,95477,76083,67246,178623
25.288,294780,254843,341989,452812,223565,147653,155962,280524,313468,188449,308042,305003,377146,206129,136426,80602,94016,78473,67169,175453
25.292,297440,257066,340759,425989,222101,147284,151473,280139,310757,187145,301945,300471,371819,203872,133849,83539,94795,79641,66751,172691
25.296,301040,253573,335007,403328,225316,147869,147032,277964,305341,186727,295693,296047,361109,203194,132651,85924,94184,78173,68648,170490
25.300,296661,249827,327354,385956,224396,148911,142929,273185,299696,181433,289131,290194,353210,204026,133619,84192,94137,76412,70391,164693
25.304,288431,245583,316845,370006,217521,146697,139599,265964,293546,173571,283211,278752,342768,201108,133661,82657,90903,76084,70961,161397
25.308,278643,234763,305777,351190,211000,141011,135358,260464,286089,170849,280635,271970,332744,195967,130496,82447,86414,74854,70012,155145
25.313,265416,226176,294223,332050,201700,135433,127192,257310,280812,169766,279984,269879,328737,193278,125961,81729,84955,75258,67886,144819
25.317,249914,219391,282906,318597,189809,134458,122283,253283,280240,168013,275791,263640,328946,189730,124223,78933,84067,77472,67617,136936
25.321,236224,211295,267415,311312,181750,135161,123221,249349,277123,167378,269167,256877,326144,184897,126504,76500,83521,74773,66928,130864
25.325,228002,201455,254407,303835,174258,131013,123025,246088,269347,165641,266471,253860,321526,179085,126930,75659,83220,70817,64516,124982
25.329,220142,190747,245371,302489,167568,123987,119350,241073,261394,161830,268514,250789,317094,174382,125435,76818,81985,68042,61883,119931
25.333,210645,182280,232384,301334,163663,120789,115224,234908,256708,157664,270837,251463,318154,173473,124857,78597,81406,67583,59902,116604
25.337,198408,175711,215259,295299,159246,119494,111253,232467,257756,154838,270341,253858,321625,170453,124142,77262,80661,67662,59148,113376
25.342,189327,167532,203980,291476,150862,117187,108756,235235,266563,155075,272657,255824,325016,170221,123816,75417,79110,67905,57786,111381
25.346,183730,158327,195739,293550,142073,112544,109480,240666,280761,158520,274939,257619,332062,173442,122731,75553,77362,66763,56547,109527
25.350,176579,151578,188590,298737,136513,111205,109900,242801,291372,161964,279512,263104,349514,178070,123074,75664,77319,65731,56920,105330
25.354,166645,151877,183741,300965,133354,108467,107944,245789,299305,164439,288246,271197,369314,183436,125448,73847,78438,65221,55869,102894
25.358,162299,151354,183509,303234,131762,105556,105406,251102,312137,165847,294538,277482,391130,190338,126460,71687,78945,66012,54089,100590
25.363,162802,149013,184583,303557,127318,104867,103960,259523,331808,166863,297557,287224,412055,200353,125095,70174,80514,64073,54591,101327
25.367,163747,146121,185418,298322,125125,103267,104817,270156,351253,167320,304758,298102,426471,207728,126568,71703,80780,60936,53975,104390
25.371,162602,144179,185587,289292,124239,102497,104416,277836,369033,170505,315863,311091,435252,211180,131968,72865,78657,61234,52100,106422
